condition,keyword,score,rank
Mobility Problems,rest,0.06093876977637096,9
Mobility Problems,ivdd,0.06093876977637096,10
Mobility Problems,medial,0.06093876977637096,11
Mobility Problems,show,0.05983953003779356,12
Mobility Problems,hip,0.05983953003779356,13
Mobility Problems,radiographs show,0.05816104500237592,14
Mobility Problems,pain,0.05796545276718719,15
Mobility Problems,motion,0.05695903889439477,16
Mobility Problems,range motion,0.05695903889439477,17
Mobility Problems,grade,0.05695903889439477,18
Mobility Problems,orthopedic,0.05695903889439477,19
Mobility Problems,spinal cord,0.05695903889439477,20
Mobility Problems,cord,0.05695903889439477,21
Mobility Problems,reflex,0.05695903889439477,22
Mobility Problems,range,0.05695903889439477,23
Mobility Problems,femoral,0.05695903889439477,24
Mobility Problems,dysplasia,0.05695903889439477,25
Mobility Problems,rupture,0.05695903889439477,26
Mobility Problems,limb,0.05630556587917398,27
Mobility Problems,muscle,0.05423131669423716,28
Mobility Problems,elbow,0.05423131669423716,29
Mobility Problems,atrophy,0.05208824194698496,30
Mobility Problems,compression,0.05208824194698496,31
Mobility Problems,hind limbs,0.05208824194698496,32
Mobility Problems,tibial,0.05208824194698496,33
Mobility Problems,gait,0.05208824194698496,34
Mobility Problems,deep pain,0.05208824194698496,35
Mobility Problems,hip laxity,0.05208824194698496,36
Mobility Problems,hip dysplasia,0.05208824194698496,37
Mobility Problems,degenerative,0.05208824194698496,38
Mobility Problems,tear,0.05208824194698496,39
Mobility Problems,paresis,0.05208824194698496,40
Parasites,heartworm,0.07840472550376391,1
Parasites,selamectin,0.07562957746731289,2
Parasites,flea,0.07139713420921717,3
Parasites,parasite,0.06934141415528547,4
Parasites,fecal,0.06934141415528547,5
Parasites,tick,0.06523135209407958,6
Parasites,coccidia,0.06122408075755089,7
Parasites,tick removed,0.06122408075755089,8
Parasites,moxidectin,0.06122408075755089,9
Parasites,ivermectin,0.059774870168164275,10
Parasites,hookworm,0.05802040746371268,11
Parasites,flotation positive,0.05802040746371268,12
Parasites,eggs,0.0553757081401019,13
Parasites,prevention,0.0553757081401019,14
Parasites,mites,0.05490044632666801,15
Parasites,dipylidium,0.05423126619591976,16
Parasites,fecal flotation positive,0.05423126619591976,17
Parasites,monthly,0.05423126619591976,18
Parasites,praziquantel,0.05423126619591976,19
Parasites,taenia,0.05423126619591976,20
Parasites,mite,0.05423126619591976,21
Parasites,flea tick,0.05423126619591976,22
Parasites,flotation,0.053609088053026686,23
Parasites,handout,0.05163417481908783,24
Parasites,giardia,0.05163417481908783,25
Parasites,removed,0.05163417481908783,26
Parasites,parasites,0.05163417481908783,27
Parasites,infestation,0.05065000945874187,28
Parasites,tick-borne,0.049593732084239915,29
Parasites,tick control,0.049593732084239915,30
Parasites,hookworms,0.049593732084239915,31
Parasites,provide handout,0.049593732084239915,32
Parasites,client handout,0.049593732084239915,33
Parasites,intestinal parasites,0.049593732084239915,34
Parasites,fur,0.049593732084239915,35
Parasites,fipronil,0.049593732084239915,36
Parasites,flea tick control,0.049593732084239915,37
Parasites,felis,0.049593732084239915,38
Parasites,lungworm,0.049593732084239915,39
Parasites,treat ivermectin,0.049593732084239915,40
Skin Irritations,alopecia,0.08282815733603344,1
Skin Irritations,dermatitis,0.07132002633748996,2
Skin Irritations,erythema,0.060753130010309686,3
Skin Irritations,pruritus,0.060753130010309686,4
Skin Irritations,atopic,0.056384791184357456,5
Skin Irritations,medicated,0.056384791184357456,6
Skin Irritations,scaling,0.05573790633125888,7
Skin Irritations,pyoderma,0.05368456924153324,8
Skin Irritations,atopic dermatitis,0.05156310047271635,9
Skin Irritations,dermatophytosis,0.05156310047271635,10
Skin Irritations,chest,0.05156310047271635,11
Skin Irritations,hyperadrenocorticism,0.05156310047271635,12
Skin Irritations,vasculitis,0.05156310047271635,13
Skin Irritations,allergy testing,0.05156310047271635,14
Skin Irritations,fungal culture,0.05156310047271635,15
Skin Irritations,seborrhea,0.05156310047271635,16
Skin Irritations,self-trauma,0.05156310047271635,17
Skin Irritations,crusting,0.048669345562482445,18
Skin Irritations,flea,0.048669345562482445,19
Skin Irritations,allergic,0.048669345562482445,20
Skin Irritations,skin,0.04801795349990953,21
Skin Irritations,topical,0.04626749726605471,22
Skin Irritations,yeast,0.045490894500024574,23
Skin Irritations,shampoo,0.045490894500024574,24
Skin Irritations,pattern,0.045490894500024574,25
Skin Irritations,hair,0.045490894500024574,26
Skin Irritations,pemphigus,0.045490894500024574,27
Skin Irritations,pododermatitis,0.045490894500024574,28
Skin Irritations,flanks,0.0453468599921962,29
Skin Irritations,comedones,0.0453468599921962,30
Skin Irritations,licking,0.0453468599921962,31
Skin Irritations,fna,0.0453468599921962,32
Skin Irritations,started,0.0453468599921962,33
Skin Irritations,zinc-responsive,0.0453468599921962,34
Skin Irritations,hypersensitivity,0.0453468599921962,35
Skin Irritations,dermatitis pattern,0.0453468599921962,36
Skin Irritations,cellulitis,0.0453468599921962,37
Skin Irritations,pruritus erythema,0.0453468599921962,38
Skin Irritations,evaluate diet,0.0453468599921962,39
Skin Irritations,pustules,0.0453468599921962,40
